text	labels
$aapl 680 today 	1
$aapl $fb $amzn $pg $mcd $gs $c $ge $utx $slb $xom $googl $agn $wmt $qqq $iwm $gild $hon $jpm $dis nice day rally url 	2
insiders are selling facebook and ford motor $cbpo $f $fit $fb $hpcq $prah $nuan $lyb url 	0
airplane and hospitality industries set their sights on cuba $aal $alk $dal $hot $jblu $luv $mar $ual $va $cuba url 	2
$etn upgrade today by ms to overweight. excellent company and leadership	2
$isrg what a move from 502 in feb - headed to all time highs. risk is some unforeseen safety issue with devices.	2
five stocks that helped starboard value s equity portfolio return 6.5% in q1 $bax, $m, $bco, $nsp, $yhoo url 	2
it s a great step for china to let $fb in. hope china unlock $goog soon. china government has done wonderful job. url 	2
$cmg looks like longer term top building which may take some time but here and now a quickie short to fill at least 1st gap 313.82.	2
don t like the new starbucks reward program neither does wall street. $sbux fell the most in more than two months: url 	0
$tsla weakest in todays dt watchlist	0
top 5 stock picks for tuesday 04 12 16 1 $cnsl 2 $psxp 3 $dorm 4 $ogs 5 $rost wallsteet stockmarket finance cnbc cnn foxnews	2
 hlavatyb4 andrew sherlock yea dude, airplanes are still flying $dal $aal	2
11 industrial-goods stocks insiders are bullish on url $cat $ba $hon $emr $itw $wm $noc $etn $ph $rsg $fast	2
nasdaq sets up for breakout part ii via allstarcharts url $goog $amzn $qcom	2
 mattkelmon 4 more years will be alot to worry about $spy $dia	0
$aapl url $aapl patiently waiting for price to enter buy support zone. strong support - notes on chart	2
$gdx $gdxj $nugt $dust $jnug $jdst gold miners bullish percent index $bpgdm weekly 02 06 2014 url 	1
oil to break out: adding chevron url $axp $clgrf $csco $erx $ibm $mcd $ssri $vlo $wmt $xom $cvx	2
i sold half of my $ugaz long here at $2.75 from my $2.51 entry yesterday noted here: url moved stop to entry price.	2
$twtr one good announcement, then shorts start quietly covering, people buy, and it s off to quick large gain. don t listen to neg bs..	2
$stx looking goo for 35.80s break out. it must hold 35.40s	2
 stocktwits: kbkiwi: $tsla tesla model s sales exceed target, profitability guidance amended upward: url 	2
$spy weak close	0
today s losers: $htz $car $endp $icpt $blue $nov $ua $panw	0
electronic arts attracts more investors even as stock fizzles $ea url 	2
$oil slid to a four-year low after opec kept its oil production unchanged url $uso $wti $brent	0
rt joemccann the correleation between the dollar index and $spy is simply amazing. $dx finds support, $spy retreats like clockwork	0
 weezymiyagi: cook is a supply chain expert. do u think he would allow a $qcom shortage to deter $aapl sorry longs, correction mode $	0
watching $stx $tol $lei higher, $htz $mdxg $insy lower. and maybe fade the metals gap.	0
short setups looking nice....really nice $al $ads $bby $hrs $dy $ebay $etfc $f $flt $bk $amgn $hrtx $ivz $lci url 	0
$spy bull move ended waiting for next setup	0
$spy c mon bulls buy dips 	2
end of day scan: stochastic overbought $jdst $free $blrx $lpg $afsi $dvax $hdge $aht $alr $asmb url 	0
$aapl $fb $amzn $pg $mcd $gs $c $ge $utx $slb $xom $googl $agn $wmt $qqq $iwm $gild $hon $jpm $dis nice day rally url 	2
 drcooper: $gdx $nugt $dust buying on weakness 06 30 2015 	2
 mugatushair now it is time to short $tsla	0
$aapl $spy usa new home sales mom for nov -2.10% vs -0.90% est; prior revised from 25.40% to 17.60%	0
$neik on high alert 96% strong buy teambillionaire url $leas $ebio $lqmt $fb pennystocks url 	2
$tsla recall	0
is any branch of medicine producing top-rated stocks these days we found one: url $hsic $pdco $algn $xray $dhr	2
$gdx $gdxj $nugt $dust $jnug $jdst gold miners bullish percent index $bpgdm weekly 02 06 2014 url 	1
 ukarlewitz if one is to go long, money rotating into large cap tech $qqq $fb $pcln	2
$aapl $fb $amzn $pg $mcd $gs $c $ge $utx $slb $xom $googl $agn $wmt $qqq $iwm $gild $hon $jpm $dis nice day rally url 	2
 not travis mute point if china hard landing, european bank collapse, american double dip...$aapl won t have anyone buying products..	0
today s top gainers url stocks $prta $ctrp $nxtd	2
aapl day low see here --- url $aapl $infi $lpnt share	0
u.s. airlines battle for cuba routes $aal $luv $save $jblu url 	2
$fb $aapl $nke $jwn bearish charts keep getting worse.	0
$regn regeneron pharma intellia thera announce licensing agreement to advance crispr cas gene-editing technology. hot area	2
$vxx starting to creep up while $spy sits near hod ...	0
unusual call buying: $rht 14x average volume, $wy 13x, $mar 9x, $uco 9x, $wyn 9x, $dvn 6x, $hot 6x, $xlp 6x	2
$nbg keep an eye on the pm 0.80 low. nbg spikes its lows. so if it revisits 0.80, lower it will go...will c next few days wknd	0
$sina trying to drag $bidu with it.	0
$yhoo have lost 50% since nov 14 sources cited talks for a possible bid including verizon, cbs and interactivecorp. url 	0
