text	labels
as a result , the russia s import restrictions on finnish dairy companies will be canceled on 6 august 2010 .	2
arcelormittal chief executive officer lakshmi mittal has already cut output at some furnaces .	0
cargotec corporation , press release , april 28 , 2008 at 2.00 p.m. finnish time cargotec s macgregor business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .	2
nordea will coordinate the syndicated loan .	1
being successful requires providing a level of quality that satisfies our customers and partners .	1
componenta will also offer a five-year subordinated loan for subscription by the public .	1
gearing was 43 % compared to 67 % in 2004 .	1
it is in line with its plans to focus on selected growth segments and streamline corporate structure .	2
around 250 of these reductions will be implemented through pension arrangements .	1
the buyer aims to thus reinforce its position in denmark , martela group managing director heikki martela said .	2
the company said that previously eb delivered a custom solution for lg electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .	1
finnish sports equipment maker amer sports oyj hel : ameas said today that its net loss narrowed to eur 16.9 million usd 22.3 m in the second quarter of 2010 from eur 23.2 million in the corresponding period a year earlier .	2
comparable operating profit for the quarter decreased from eur510m while sales increased from eur860m , as compared to the third quarter 2007 .	0
absolut bank is exploring the possibility of further borrowing .	1
the reduction notice applied to 17 people .	0
patrizia adds the acquisition to a portfolio already worth eur3bn .	1
the study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .	1
after the signing , the total amount of aspo s revolving credit facility agreements is eur 50 million , which replaces the formerly valid agreements of eur 80 million .	1
austin , texas , sept. 6 -- texas department of transportation awards contract for teleste video compression and distribution equipment .	2
we hope to increase traffic volumes with the opening of freight one scandinavia . 	2
operating profit was eur 139.7 mn , up 23 % from eur 113.8 mn .	2
in a release , the company said that vocollect t2 customers in north america can now take advantage of its voice directed warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .	2
 as a part of the eseries business promise , the nokia e50 has been equipped with a variety of email solutions in a small and stylised package , said dave grannan , general manager , enterprise solutions , nokia .	1
however , its market share shrank to 47.59 per cent from 48 per cent a year earlier .	0
the groups s turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .	2
the company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to central europe for several decades .	2
unilever s turun sinappi that is made in sweden holds 40 % of the market .	1
finnair expands : finnair plans to add more flights on routes to hong kong , india and russia .	2
the expansion aims to attract new customers both in finland and abroad .	2
 beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .	2
according to olvi s managing director lasse aho , the company has an ongoing mmx plus project that aims to find growth outside finland .	2
approximately sek 166 million in repayments has been demanded for overcharging in the stockholm area , with the remaining sek 87 million taken from the western coast , the inspectorate said .	1
the important thing now is to keep the bank s existing 15,000 customers .	1
the insurer anticipates its share in nordea s net profit to be significant .	2
the board of directors also proposed that a dividend of eur0 .20 per outstanding share be paid .	1
we make available the following brand-new market analyses cement - pakistan cement - malaysia cement - taiwan cement - philippines these analyses give a clear overview of the actual situation and future outlook of the cement industry in some asian countries .	1
finnish bank alandsbanken said monday it will buy the swedish operations of iceland s troubled kaupthing bank for 414 million kronor $ 49.5 million in cash .	1
last week , however , nokia announced that it will pursue a long-term relationship with microsoft , and make the windows phone 7 operating system the foundation for nokia mobile phones .	1
reported operating margin was a negative 5.9 % .	0
aldata noted that its voice supply chain technology approach enables vdw to integrate with warehouse management systems .	1
the geosolutions technology will leverage benefon s gps solutions by providing location based search technology , a communities platform , location relevant multimedia content and a new and powerful commercial model .	2
while the company did not indicate the level of investment in the unit , it said that has purchased the equipment of nokia corporation s mobile phone r d laboratory in jyvaeskylae .	1
elcoteq s stock of orders has stabilised in the past weeks , mr krippl said .	2
alexandria , va. , oct. 6 -- united states patent no. 7,804,288 , issued on sept. 28 , was assigned to vacon oyj vaasa , finland .	1
one of uponor s promising future products is a hydronic cooling system .	2
helsinki afx - cramo said it has agreed to sell cramo nederland bv cnl , its dutch machinery and equipment rental unit , to jaston groep for an undisclosed sum .	1
the order is a follow-on to an 11 mln euro $ 16.1 mln deal made in july 2007 .	1
emsa deputy chairman of the board juri lember told bns on wednesday that this was the first time he heard about the strike as the swedish side had not informed the estonian union yet .	0
national conciliator juhani salonius , who met both parties on wednesday , said they were too far apart in their views for him to propose mediation .	0
the annual general meeting approved a dividend of eur 0.10 per share , that is , a total of eur 7,8 million .	1
loudeye corp. , up $ 2.56 at $ 4.33 nokia corp. , down 10 cents at $ 19.46 nokia agreed to buy the digital music distributor for $ 60 million .	1
the group s revenue in 2009 amounted to eur 70 million and the company currently employs approximately 780 people .	1
